,Date,Price
930,2021-02-10,3909.88
931,2021-02-11,3916.38
932,2021-02-12,3934.83
933,2021-02-16,3932.59
934,2021-02-17,3931.33
935,2021-02-18,3913.97
936,2021-02-19,3906.71
937,2021-02-22,3876.5
938,2021-02-23,3881.37
939,2021-02-24,3925.43
940,2021-02-25,3829.34
941,2021-02-26,3811.15
942,2021-03-01,3901.82
943,2021-03-02,3870.29
944,2021-03-03,3819.72
945,2021-03-04,3768.47
946,2021-03-05,3841.94
947,2021-03-08,3821.35
948,2021-03-09,3875.44
949,2021-03-10,3898.81
950,2021-03-11,3939.34
951,2021-03-12,3943.34
952,2021-03-15,3968.94
953,2021-03-16,3962.71
954,2021-03-17,3974.12
955,2021-03-18,3915.46
956,2021-03-19,3913.1
957,2021-03-22,3940.59
958,2021-03-23,3910.52
959,2021-03-24,3889.14
960,2021-03-25,3909.52
961,2021-03-26,3974.54
962,2021-03-29,3971.09
963,2021-03-30,3958.55
964,2021-03-31,3972.89
965,2021-04-01,4019.87
966,2021-04-05,4077.91
967,2021-04-06,4073.94
968,2021-04-07,4079.95
969,2021-04-08,4097.17
970,2021-04-09,4128.8
971,2021-04-12,4127.99
972,2021-04-13,4141.59
973,2021-04-14,4124.66
974,2021-04-15,4170.42
975,2021-04-16,4185.47
976,2021-04-19,4163.26
977,2021-04-20,4134.94
978,2021-04-21,4173.42
979,2021-04-22,4134.98
980,2021-04-23,4180.17
981,2021-04-26,4187.62
982,2021-04-27,4186.72
983,2021-04-28,4183.18
984,2021-04-29,4211.47
985,2021-04-30,4181.17
986,2021-05-03,4192.66
987,2021-05-04,4164.66
988,2021-05-05,4167.59
989,2021-05-06,4201.62
990,2021-05-07,4232.6
991,2021-05-10,4188.43
992,2021-05-11,4152.1
993,2021-05-12,4063.04
994,2021-05-13,4112.5
995,2021-05-14,4173.85
996,2021-05-17,4163.29
